iter	Accuracy	MultiClass
0	0.7399027674	1.504137506
1	0.7492520568	1.373580252
2	0.7610321616	1.268368218
3	0.76421092	1.190677401
4	0.7638369484	1.130743077
5	0.763275991	1.077278297
6	0.7634629768	1.028085696
7	0.7679506358	0.9920178907
8	0.7651458489	0.9559669637
9	0.7701944652	0.9227382591
10	0.7688855647	0.8900006438
11	0.7685115931	0.8624562587
12	0.7688855647	0.8410756602
13	0.7700074794	0.8187139233
14	0.7700074794	0.7984682774
15	0.7709424084	0.779936879
16	0.7711293942	0.7609290356
17	0.77131638	0.7477625286
18	0.7735602094	0.7345757272
19	0.773934181	0.7218373414
20	0.7735602094	0.7083061904
21	0.7756170531	0.6973371619
22	0.777486911	0.6861601643
23	0.7778608826	0.6760231214
24	0.7789827973	0.6658969672
25	0.7797307405	0.6583512676
26	0.7787958115	0.6472797963
27	0.7797307405	0.6395965106
28	0.7806656694	0.6312450839
29	0.7816005984	0.6250822001
30	0.7827225131	0.6181309544
31	0.7825355273	0.6116966338
32	0.7834704562	0.6059651171
33	0.7840314136	0.600463901
34	0.783657442	0.5965278813
35	0.783657442	0.592377402
36	0.7853403141	0.5876767686
37	0.7855272999	0.5834266648
38	0.787210172	0.5805076213
39	0.788145101	0.5759494594
40	0.7875841436	0.5706402238
41	0.7888930441	0.5679819616
42	0.7902019447	0.5640059542
43	0.7903889304	0.5599891493
44	0.7903889304	0.5570279064
45	0.790762902	0.5536793373
46	0.791697831	0.5500916354
47	0.7905759162	0.547095388
48	0.7905759162	0.542974269
49	0.7918848168	0.5396310078
50	0.7926327599	0.5369988582
51	0.7922587883	0.5342005602
52	0.7931937173	0.5311911369
53	0.7930067315	0.529426054
54	0.7945026178	0.5277936711
55	0.7950635752	0.5257421727
56	0.7956245325	0.5226533466
57	0.7963724757	0.5213165986
58	0.7965594615	0.5193536478
59	0.7963724757	0.5174659877
60	0.7967464473	0.51580704
61	0.7967464473	0.5146461856
62	0.7971204188	0.5131879796
63	0.7974943904	0.5114523714
64	0.7971204188	0.5098041412
65	0.7969334331	0.5085745122
66	0.7969334331	0.507278238
67	0.7974943904	0.5059625689
68	0.797868362	0.5048211047
69	0.7982423336	0.5034566133
70	0.7982423336	0.5017665553
71	0.7989902767	0.5003255866
72	0.8001121915	0.4981015201
73	0.801421092	0.4969250717
74	0.801421092	0.4956292472
75	0.8027299925	0.4944341002
76	0.8029169783	0.4941534725
77	0.8025430067	0.4940749772
78	0.8032909499	0.4932230518
79	0.8034779357	0.4923080078
80	0.8032909499	0.491441011
81	0.8038519073	0.4904865262
82	0.8047868362	0.4895980097
83	0.804973822	0.4881616076
84	0.8051608078	0.4866717951
85	0.8053477936	0.4860929088
86	0.8055347794	0.4851875399
87	0.8060957367	0.4836702948
88	0.8064697083	0.4821206384
89	0.8066566941	0.4815601271
90	0.8070306657	0.480608414
91	0.8077786088	0.479755846
92	0.8077786088	0.4794122891
93	0.8079655946	0.4782145811
94	0.8081525804	0.4771061356
95	0.8079655946	0.4764169248
96	0.8087135378	0.4755537911
97	0.8092744951	0.4745089654
98	0.8090875093	0.4732217703
99	0.8094614809	0.4723628597
100	0.8096484667	0.4706842189
101	0.8096484667	0.4700245019
102	0.8102094241	0.4698476443
103	0.8100224383	0.4687159712
104	0.8107703815	0.4677512288
105	0.8105833957	0.4670235115
106	0.8105833957	0.4662674709
107	0.8107703815	0.4653762077
108	0.8107703815	0.4641720135
109	0.811144353	0.4634329561
110	0.811144353	0.462828828
111	0.8124532536	0.461534463
112	0.8124532536	0.4608059431
113	0.8118922962	0.4598158392
114	0.8124532536	0.4589176097
115	0.8130142109	0.4579311728
116	0.8135751683	0.4567000929
117	0.8132011967	0.4562181266
118	0.8133881825	0.4554817238
119	0.8145100972	0.4551726063
120	0.8145100972	0.4547944702
121	0.8141361257	0.4540978755
122	0.814697083	0.4533278135
123	0.8154450262	0.4526388301
124	0.8158189978	0.4518438715
125	0.815632012	0.4512806503
126	0.8158189978	0.4505532132
127	0.8161929693	0.4498464725
128	0.8160059835	0.4492428553
129	0.8158189978	0.4490973273
130	0.8160059835	0.4483681643
131	0.8160059835	0.4474865233
132	0.8175018699	0.446655052
133	0.8180628272	0.4459906817
134	0.8180628272	0.4458626505
135	0.8176888556	0.4452702906
136	0.8176888556	0.4445877732
137	0.8178758414	0.4445256424
138	0.8178758414	0.4436206123
139	0.8178758414	0.4434361984
140	0.8176888556	0.443090019
141	0.8180628272	0.4423722785
142	0.8186237846	0.4414533942
143	0.8195587135	0.4406096739
144	0.8195587135	0.4400425525
145	0.8197456993	0.4394043939
146	0.8203066567	0.4385927521
147	0.8203066567	0.4381854212
148	0.8203066567	0.4381043593
149	0.8206806283	0.4374040736
150	0.8201196709	0.4369663023
151	0.8208676141	0.4364459963
152	0.8208676141	0.4358851156
153	0.8206806283	0.4353021569
154	0.8212415856	0.4347176976
155	0.8212415856	0.4341901241
156	0.8216155572	0.4339627825
157	0.821802543	0.4333006069
158	0.8225504862	0.4325927633
159	0.8225504862	0.4318216039
160	0.8221765146	0.4312984049
161	0.8223635004	0.4304855277
162	0.8219895288	0.4298301349
163	0.8221765146	0.4296037051
164	0.8225504862	0.4289472526
165	0.822737472	0.4283294671
166	0.8221765146	0.4277517113
167	0.822737472	0.4270733088
168	0.822737472	0.4267710233
169	0.8232984293	0.4265059856
170	0.8229244577	0.4259750338
171	0.8238593867	0.4254503291
172	0.8240463725	0.4251282323
173	0.8238593867	0.4247356958
174	0.8247943156	0.4239992513
175	0.8251682872	0.4234637187
176	0.825355273	0.4230519204
177	0.8261032162	0.4224242759
178	0.8259162304	0.4219052957
179	0.8251682872	0.4216571978
180	0.8257292446	0.420912112
181	0.8266641735	0.4204154904
182	0.8268511593	0.419999009
183	0.8272251309	0.4195270434
