iter	Passed	Remaining
0	84	59245
1	107	37637
2	136	31753
3	158	27507
4	183	25525
5	207	24020
6	239	23666
7	254	21981
8	282	21659
9	316	21839
10	354	22185
11	390	22365
12	438	23159
13	491	24105
14	552	25212
15	595	25444
16	645	25921
17	688	26098
18	722	25895
19	759	25811
20	800	25881
21	843	25998
22	879	25881
23	910	25647
24	942	25459
25	975	25275
26	1006	25095
27	1037	24903
28	1068	24732
29	1099	24545
30	1120	24180
31	1149	23989
32	1179	23845
33	1209	23698
34	1252	23801
35	1290	23804
36	1319	23645
37	1353	23578
38	1386	23505
39	1424	23506
40	1461	23489
41	1516	23752
42	1569	23977
43	1594	23767
44	1644	23936
45	1678	23865
46	1718	23876
47	1759	23894
48	1791	23802
49	1833	23832
50	1859	23668
51	1900	23681
52	1937	23652
53	1974	23622
54	2006	23526
55	2015	23180
56	2044	23066
57	2081	23041
58	2112	22947
59	2144	22877
60	2178	22823
61	2212	22762
62	2242	22679
63	2275	22617
64	2303	22501
65	2319	22276
66	2349	22199
67	2376	22091
68	2408	22022
69	2445	22005
70	2472	21901
71	2505	21849
72	2534	21771
73	2563	21686
74	2595	21632
75	2622	21534
76	2652	21463
77	2685	21413
78	2714	21335
79	2742	21251
80	2773	21197
81	2802	21124
82	2836	21088
83	2864	21008
84	2895	20948
85	2927	20903
86	2961	20869
87	2995	20835
88	3028	20788
89	3059	20737
90	3096	20720
91	3125	20658
92	3153	20579
93	3187	20548
94	3220	20512
95	3242	20398
96	3270	20333
97	3301	20282
98	3332	20229
99	3364	20184
100	3396	20142
101	3433	20130
102	3465	20088
103	3498	20046
104	3534	20028
105	3571	20013
106	3601	19961
107	3644	19978
108	3683	19969
109	3715	19928
110	3802	20178
111	3850	20215
112	3892	20222
113	3950	20305
114	3999	20347
115	4039	20337
116	4079	20327
117	4130	20372
118	4186	20438
119	4235	20473
120	4243	20304
121	4285	20302
122	4326	20294
123	4369	20295
124	4402	20250
125	4435	20205
126	4466	20151
127	4498	20101
128	4526	20037
129	4558	19989
130	4594	19954
131	4624	19900
132	4656	19851
133	4692	19818
134	4721	19760
135	4759	19736
136	4793	19700
137	4823	19641
138	4854	19593
139	4891	19566
140	4928	19539
141	4973	19543
142	4998	19468
143	5028	19416
144	5063	19379
145	5096	19339
146	5127	19288
147	5161	19251
148	5193	19206
149	5223	19151
150	5255	19106
151	5287	19062
152	5295	18932
153	5326	18883
154	5363	18858
155	5392	18805
156	5422	18753
157	5450	18697
158	5487	18669
159	5515	18615
160	5545	18566
161	5579	18529
162	5608	18478
163	5647	18457
164	5681	18420
165	5708	18364
166	5742	18326
167	5773	18281
168	5803	18233
169	5840	18207
170	5875	18176
171	5897	18104
172	5933	18075
173	5971	18050
174	6009	18027
175	6047	18005
176	6082	17971
177	6127	17969
178	6166	17947
179	6200	17912
180	6237	17885
181	6270	17847
182	6303	17807
183	6341	17784
184	6378	17756
185	6407	17707
186	6438	17662
187	6471	17625
188	6504	17587
189	6534	17538
190	6566	17499
191	6605	17476
192	6641	17445
193	6678	17418
194	6708	17373
195	6738	17326
196	6766	17278
197	6801	17243
198	6830	17196
199	6862	17155
200	6896	17119
201	6902	17018
202	6935	16980
203	6973	16955
204	7006	16917
205	7046	16897
206	7082	16869
207	7134	16874
208	7177	16862
209	7218	16843
210	7254	16812
211	7293	16789
212	7329	16759
213	7365	16726
214	7403	16700
215	7439	16671
216	7473	16633
217	7503	16590
218	7538	16557
219	7574	16526
220	7604	16482
221	7635	16439
222	7670	16408
223	7704	16373
